E [keV],Entries
0.2,0
0.6,0
1,235
1.4,4
1.8,8
2.2,7
2.6,25
3,70
3.4,47
3.8,92
4.2,463
4.6,453
5,68
5.4,56
5.8,27
6.2,29
6.6,22
7,27
7.4,17
7.8,28
8.2,28
8.6,22
9,16
9.4,19
9.8,13
10.2,15
10.6,24
11,20
11.4,10
11.8,16
12.2,8
12.6,7
13,8
13.4,12
13.8,7
14.2,11
14.6,5
15,15
15.4,14
15.8,9
16.2,9
16.6,8
17,12
17.4,46
17.8,187
18.2,320
18.6,322
19,317
19.4,2392
19.8,679
20.2,288
20.6,360
21,419
21.4,390
21.8,388
22.2,382
22.6,378
23,350
23.4,356
23.8,327
24.2,332
24.6,357
25,328
25.4,335
25.8,288
26.2,301
26.6,292
27,297
27.4,298
27.8,290
28.2,270
28.6,286
29,249
29.4,2224
29.8,3970
30.2,237
30.6,264
31,275
31.4,218
31.8,210
32.2,220
32.6,253
33,217
33.4,584
33.8,881
34.2,270
34.6,366
35,208
35.4,178
35.8,205
36.2,203
36.6,187
37,195
37.4,207
37.8,157
38.2,175
38.6,172
39,172
39.4,175
39.8,162
40.2,161
40.6,161
41,148
41.4,168
41.8,154
42.2,151
42.6,149
43,155
43.4,143
43.8,125
44.2,158
44.6,133
45,146
45.4,143
45.8,119
46.2,141
46.6,133
47,130
47.4,115
47.8,124
48.2,126
48.6,123
49,140
49.4,118
49.8,130
50.2,118
50.6,124
51,122
51.4,129
51.8,120
52.2,104
52.6,94
53,118
53.4,142
53.8,106
54.2,102
54.6,114
55,97
55.4,96
55.8,101
56.2,92
56.6,106
57,97
57.4,77
57.8,86
58.2,107
58.6,85
59,86
59.4,83
59.8,86
60.2,80
60.6,105
61,73
61.4,82
61.8,79
62.2,84
62.6,95
63,97
63.4,79
63.8,65
64.2,80
64.6,80
65,85
65.4,82
65.8,75
66.2,77
66.6,66
67,79
67.4,76
67.8,85
68.2,76
68.6,78
69,68
69.4,56
69.8,63
70.2,59
70.6,53
71,67
71.4,64
71.8,67
72.2,50
72.6,74
73,68
73.4,66
73.8,58
74.2,66
74.6,59
75,47
75.4,61
75.8,58
76.2,54
76.6,61
77,58
77.4,66
77.8,50
78.2,62
78.6,47
79,61
79.4,67
79.8,53
80.2,59
80.6,47
81,59
81.4,50
81.8,47
82.2,44
82.6,54
83,38
83.4,39
83.8,40
84.2,61
84.6,47
85,45
85.4,55
85.8,48
86.2,56
86.6,51
87,51
87.4,48
87.8,33
88.2,39
88.6,42
89,55
89.4,48
89.8,39
90.2,40
90.6,40
91,50
91.4,49
91.8,42
92.2,36
92.6,35
93,37
93.4,31
93.8,37
94.2,35
94.6,74
95,96
95.4,102
95.8,90
96.2,96
96.6,98
97,71
97.4,100
97.8,80
98.2,86
98.6,91
99,107
99.4,84
99.8,96
100.2,85
100.6,101
101,91
101.4,96
101.8,120
102.2,105
102.6,90
103,74
103.4,86
103.8,72
104.2,103
104.6,85
105,95
105.4,70
105.8,83
106.2,77
106.6,76
107,75
107.4,92
107.8,80
108.2,83
108.6,92
109,90
109.4,71
109.8,84
110.2,76
110.6,72
111,78
111.4,73
111.8,81
112.2,72
112.6,92
113,67
113.4,88
113.8,58
114.2,69
114.6,72
115,72
115.4,69
115.8,83
116.2,72
116.6,76
117,67
117.4,62
117.8,75
118.2,67
118.6,48
119,76
119.4,69
119.8,80
120.2,63
120.6,65
121,65
121.4,57
121.8,65
122.2,70
122.6,57
123,66
123.4,60
123.8,58
124.2,68
124.6,61
125,67
125.4,65
125.8,77
126.2,62
126.6,68
127,71
127.4,63
127.8,83
128.2,59
128.6,55
129,58
129.4,63
129.8,57
130.2,63
130.6,69
131,76
131.4,41
131.8,52
132.2,54
132.6,61
133,57
133.4,46
133.8,50
134.2,46
134.6,45
135,52
135.4,50
135.8,50
136.2,56
136.6,48
137,57
137.4,45
137.8,55
138.2,40
138.6,52
139,39
139.4,52
139.8,52
140.2,46
140.6,41
141,54
141.4,47
141.8,45
142.2,36
142.6,40
143,53
143.4,45
143.8,47
144.2,42
144.6,52
145,48
145.4,46
145.8,50
146.2,47
146.6,50
147,41
147.4,42
147.8,35
148.2,50
148.6,48
149,40
149.4,45
149.8,46
150.2,42
150.6,40
151,43
151.4,46
151.8,45
152.2,37
152.6,44
153,29
153.4,39
153.8,42
154.2,39
154.6,38
155,41
155.4,46
155.8,44
156.2,32
156.6,40
157,45
157.4,40
157.8,45
158.2,32
158.6,38
159,35
159.4,38
159.8,38
160.2,54
160.6,38
161,41
161.4,48
161.8,33
162.2,32
162.6,33
163,37
163.4,38
163.8,41
164.2,33
164.6,43
165,35
165.4,27
165.8,35
166.2,30
166.6,27
167,51
167.4,34
167.8,35
168.2,38
168.6,30
169,36
169.4,33
169.8,38
170.2,29
170.6,25
171,34
171.4,40
171.8,33
172.2,20
172.6,29
173,26
173.4,36
173.8,27
174.2,32
174.6,44
175,32
175.4,36
175.8,32
176.2,36
176.6,23
177,39
177.4,25
177.8,33
178.2,29
178.6,38
179,39
179.4,30
179.8,39
180.2,24
180.6,38
181,27
181.4,29
181.8,20
182.2,35
182.6,24
183,27
183.4,27
183.8,37
184.2,30
184.6,27
185,29
185.4,24
185.8,18
186.2,23
186.6,23
187,32
187.4,30
187.8,33
188.2,26
188.6,36
189,26
189.4,23
189.8,14
190.2,24
190.6,31
191,33
191.4,22
191.8,30
192.2,26
192.6,26
193,37
193.4,22
193.8,28
194.2,20
194.6,19
195,14
195.4,27
195.8,27
196.2,28
196.6,23
197,26
197.4,31
197.8,27
198.2,30
198.6,22
199,22
199.4,25
199.8,17
200.2,30
200.6,25
201,26
201.4,21
201.8,22
202.2,20
202.6,19
203,14
203.4,21
203.8,21
204.2,24
204.6,19
205,32
205.4,20
205.8,26
206.2,16
206.6,19
207,18
207.4,24
207.8,15
208.2,24
208.6,19
209,15
209.4,20
209.8,21
210.2,17
210.6,12
211,17
211.4,14
211.8,12
212.2,30
212.6,14
213,23
213.4,27
213.8,21
214.2,18
214.6,22
215,15
215.4,26
215.8,22
216.2,18
216.6,25
217,25
217.4,24
217.8,24
218.2,21
218.6,22
219,22
219.4,23
219.8,21
220.2,18
220.6,24
221,21
221.4,16
221.8,15
222.2,23
222.6,22
223,18
223.4,20
223.8,11
224.2,17
224.6,21
225,10
225.4,9
225.8,22
226.2,19
226.6,15
227,21
227.4,25
227.8,15
228.2,19
228.6,19
229,19
229.4,14
229.8,21
230.2,19
230.6,19
231,18
231.4,15
231.8,20
232.2,18
232.6,30
233,26
233.4,18
233.8,16
234.2,14
234.6,15
235,14
235.4,23
235.8,17
236.2,19
236.6,14
237,19
237.4,23
237.8,18
238.2,13
238.6,13
239,12
239.4,18
239.8,17
240.2,15
240.6,15
241,17
241.4,18
241.8,8
242.2,20
242.6,13
243,13
243.4,15
243.8,20
244.2,18
244.6,19
245,15
245.4,13
245.8,15
246.2,11
246.6,20
247,13
247.4,16
247.8,10
248.2,19
248.6,19
249,14
249.4,10
249.8,10
250.2,14
250.6,22
251,11
251.4,14
251.8,20
252.2,12
252.6,17
253,13
253.4,15
253.8,11
254.2,11
254.6,15
255,14
255.4,13
255.8,14
256.2,9
256.6,11
257,18
257.4,7
257.8,10
258.2,16
258.6,12
259,17
259.4,15
259.8,10
260.2,17
260.6,14
261,9
261.4,8
261.8,9
262.2,11
262.6,12
263,10
263.4,8
263.8,17
264.2,12
264.6,14
265,11
265.4,14
265.8,15
266.2,10
266.6,10
267,13
267.4,6
267.8,9
268.2,8
268.6,8
269,15
269.4,11
269.8,8
270.2,14
270.6,10
271,6
271.4,11
271.8,4
272.2,12
272.6,7
273,13
273.4,9
273.8,19
274.2,13
274.6,14
275,11
275.4,9
275.8,6
276.2,5
276.6,14
277,11
277.4,18
277.8,18
278.2,13
278.6,11
279,5
279.4,15
279.8,11
280.2,15
280.6,9
281,16
281.4,11
281.8,9
282.2,18
282.6,8
283,6
283.4,10
283.8,8
284.2,13
284.6,7
285,11
285.4,10
285.8,11
286.2,9
286.6,12
287,8
287.4,13
287.8,5
288.2,8
288.6,7
289,6
289.4,10
289.8,9
290.2,11
290.6,9
291,13
291.4,8
291.8,13
292.2,8
292.6,6
293,7
293.4,5
293.8,7
294.2,9
294.6,11
295,13
295.4,6
295.8,8
296.2,9
296.6,8
297,13
297.4,6
297.8,12
298.2,6
298.6,13
299,6
299.4,7
299.8,4
300.2,14
300.6,10
301,6
301.4,6
301.8,8
302.2,7
302.6,8
303,6
303.4,3
303.8,8
304.2,9
304.6,8
305,10
305.4,9
305.8,10
306.2,13
306.6,11
307,4
307.4,15
307.8,8
308.2,11
308.6,6
309,10
309.4,7
309.8,5
310.2,9
310.6,4
311,4
311.4,13
311.8,6
312.2,10
312.6,5
313,6
313.4,5
313.8,7
314.2,7
314.6,6
315,5
315.4,5
315.8,7
316.2,11
316.6,11
317,7
317.4,6
317.8,9
318.2,7
318.6,6
319,2
319.4,2
319.8,5
320.2,4
320.6,10
321,8
321.4,6
321.8,1
322.2,9
322.6,9
323,6
323.4,16
323.8,11
324.2,6
324.6,5
325,4
325.4,5
325.8,8
326.2,5
326.6,10
327,6
327.4,5
327.8,9
328.2,6
328.6,2
329,9
329.4,6
329.8,4
330.2,8
330.6,10
331,5
331.4,5
331.8,4
332.2,12
332.6,8
333,7
333.4,5
333.8,5
334.2,10
334.6,8
335,4
335.4,4
335.8,5
336.2,7
336.6,9
337,9
337.4,4
337.8,3
338.2,5
338.6,8
339,5
339.4,2
339.8,7
340.2,11
340.6,5
341,4
341.4,5
341.8,3
342.2,3
342.6,6
343,8
343.4,7
343.8,10
344.2,12
344.6,6
345,12
345.4,8
345.8,5
346.2,8
346.6,6
347,6
347.4,4
347.8,9
348.2,5
348.6,9
349,11
349.4,0
349.8,6
350.2,10
350.6,4
351,7
351.4,4
351.8,2
352.2,8
352.6,12
353,3
353.4,9
353.8,5
354.2,8
354.6,3
355,6
355.4,6
355.8,6
356.2,10
356.6,1
357,5
357.4,5
357.8,7
358.2,8
358.6,7
359,7
359.4,11
359.8,8
360.2,5
360.6,4
361,5
361.4,7
361.8,6
362.2,5
362.6,5
363,2
363.4,2
363.8,10
364.2,7
364.6,4
365,8
365.4,4
365.8,2
366.2,7
366.6,5
367,3
367.4,3
367.8,7
368.2,3
368.6,5
369,6
369.4,10
369.8,10
370.2,2
370.6,5
371,6
371.4,5
371.8,6
372.2,10
372.6,5
373,8
373.4,6
373.8,11
374.2,6
374.6,7
375,4
375.4,5
375.8,7
376.2,6
376.6,6
377,8
377.4,4
377.8,5
378.2,7
378.6,4
379,6
379.4,4
379.8,4
380.2,4
380.6,4
381,4
381.4,6
381.8,6
382.2,10
382.6,5
383,3
383.4,3
383.8,4
384.2,5
384.6,6
385,2
385.4,7
385.8,6
386.2,4
386.6,4
